# Run complete. Total time: 00:22:56

Benchmark                                                                                           (captureOutput)  (command)  (iterations)    Mode   Cnt           Score            Error    Units
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgPromotedAvg                                        false        pwd            10   thrpt    10       39948.700 ±     152694.495        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgPromotedDev                                        false        pwd            10   thrpt    10       37522.300 ±     127933.174        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgPromotedPaddedAvg                                  false        pwd            10   thrpt    10      152515.800 ±     536274.730        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgSurvivedDev                                        false        pwd            10   thrpt    10       80378.900 ±     143444.058        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgSurvivedPaddedAvg                                  false        pwd            10   thrpt    10      168422.900 ±     269199.233        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.decreaseForFootprint                                  false        pwd            10   thrpt    10           0.600 ±          2.869        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.decrementTenuringThresholdForGcCost                   false        pwd            10   thrpt    10           0.100 ±          0.478        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.minorPauseTime                                        false        pwd            10   thrpt    10           0.100 ±          7.490        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.minorPauseYoungSlope                                  false        pwd            10   thrpt    10           6.200 ±         15.266        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.promoted                                              false        pwd            10   thrpt    10      172048.000 ±     818269.954        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.allocThreads                                            false        pwd            10   thrpt    10           0.700 ±         10.524        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.fills                                                   false        pwd            10   thrpt    10          77.600 ±        152.971        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.maxFills                                                false        pwd            10   thrpt    10           4.100 ±          9.989        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.maxSlowAlloc                                            false        pwd            10   thrpt    10          21.700 ±         55.755        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.maxSlowWaste                                            false        pwd            10   thrpt    10         193.300 ±       1878.441        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.slowAlloc                                               false        pwd            10   thrpt    10         254.800 ±       1368.800        ?
