# Run complete. Total time: 00:22:56

Benchmark                                                                                           (captureOutput)  (command)  (iterations)    Mode   Cnt           Score            Error    Units
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.maxSlowAlloc                                            false        pwd            10    avgt    10          21.900 ±         39.247        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.slowAlloc                                               false        pwd            10    avgt    10         610.200 ±       1501.317        ?
Benchmark.runApache_withoutThreads:·threads.alive                                                             false        pwd            10    avgt    10          56.500 ±          0.797  threads
Benchmark.runApache_withoutThreads:·threads.daemon                                                            false        pwd            10    avgt    10          55.500 ±          0.797  threads
Benchmark.runApache_withoutThreads:·threads.started                                                           false        pwd            10    avgt    10          57.000                   threads
Benchmark.runApache_withoutThreads                                                                            false        pwd            20    avgt    10         162.047 ±          3.716    ms/op
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.invocations                                      false        pwd            20    avgt    10           2.000 ±          0.713        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.lastEntryTime                                    false        pwd            20    avgt    10  1252033028.300 ±  413698451.664        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.lastExitTime                                     false        pwd            20    avgt    10  1251542073.200 ±  413915937.664        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.time                                             false        pwd            20    avgt    10     5929230.800 ±    3131203.964        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.compressedclassspace.used                                    false        pwd            20    avgt    10         216.000 ±        688.451        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.generation.0.space.2.capacity                                false        pwd            20    avgt    10      104857.600 ±    1897948.032        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.generation.1.space.0.used                                    false        pwd            20    avgt    10      451500.800 ±    1090926.488        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.metaspace.capacity                                           false        pwd            20    avgt    10       52428.800 ±     167105.007        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.metaspace.used                                               false        pwd            20    avgt    10        9596.800 ±       7421.716        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgPromotedAvg                                        false        pwd            20    avgt    10       24538.700 ±     157989.515        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgPromotedDev                                        false        pwd            20    avgt    10       28093.100 ±     131608.452        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgPromotedPaddedAvg                                  false        pwd            20    avgt    10      108818.400 ±     551991.371        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgSurvivedDev                                        false        pwd            20    avgt    10      121354.000 ±     168087.446        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgSurvivedPaddedAvg                                  false        pwd            20    avgt    10      120429.100 ±     371553.229        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.desiredSurvivorSize                                   false        pwd            20    avgt    10      104857.600 ±     334210.013        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.minorPauseYoungSlope                                  false        pwd            20    avgt    10          51.000 ±        296.703        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.promoted                                              false        pwd            20    avgt    10       22129.600 ±     104518.930        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.fills                                                   false        pwd            20    avgt    10          48.300 ±        167.914        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.maxFills                                                false        pwd            20    avgt    10           4.000 ±         14.038        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.maxSlowAlloc                                            false        pwd            20    avgt    10           8.400 ±         43.732        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.slowAlloc                                               false        pwd            20    avgt    10         361.800 ±       1090.222        ?
Benchmark.runApache_withoutThreads:·threads.alive                                                             false        pwd            20    avgt    10          58.000 ±          4.781  threads
Benchmark.runApache_withoutThreads:·threads.daemon                                                            false        pwd            20    avgt    10          57.000 ±          4.781  threads
Benchmark.runApache_withoutThreads:·threads.started                                                           false        pwd            20    avgt    10          61.000                   threads
Benchmark.runApache_withoutThreads                                                                            false       date             5    avgt    10          41.744 ±          0.884    ms/op
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.invocations                                      false       date             5    avgt    10           1.600 ±          0.781        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.lastEntryTime                                    false       date             5    avgt    10  1059642368.600 ±  519383660.142        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.lastExitTime                                     false       date             5    avgt    10  1059367659.800 ±  518833214.302        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.time                                             false       date             5    avgt    10     5221216.900 ±    2976048.241        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.compressedclassspace.used                                    false       date             5    avgt    10         216.000 ±        688.451        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.generation.0.space.0.used                                    false       date             5    avgt    10     1080220.800 ±   39360816.263        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.generation.0.space.1.capacity                                false       date             5    avgt    10      104857.600 ±    2386736.888        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.generation.1.space.0.used                                    false       date             5    avgt    10      430816.000 ±    1124469.522        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.metaspace.capacity                                           false       date             5    avgt    10       52428.800 ±     167105.007        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.metaspace.used                                               false       date             5    avgt    10        9931.200 ±       9355.750        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgMinorIntervalTime                                  false       date             5    avgt    10           0.400 ±         15.955        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgPromotedAvg                                        false       date             5    avgt    10       30938.900 ±     155118.097        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgPromotedDev                                        false       date             5    avgt    10       31927.800 ±     127421.997        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgPromotedPaddedAvg                                  false       date             5    avgt    10      126722.500 ±     536775.336        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgSurvivedDev                                        false       date             5    avgt    10      111870.200 ±     169725.772        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgSurvivedPaddedAvg                                  false       date             5    avgt    10      143477.000 ±     313434.076        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.desiredSurvivorSize                                   false       date             5    avgt    10      104857.600 ±     334210.013        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.minorPauseYoungSlope                                  false       date             5    avgt    10          68.800 ±        887.031        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.promoted                                              false       date             5    avgt    10       22131.200 ±     113017.091        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.allocThreads                                            false       date             5    avgt    10           0.300 ±          4.622        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.fills                                                   false       date             5    avgt    10          43.900 ±        154.001        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.maxFills                                                false       date             5    avgt    10           5.100 ±         17.795        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.maxSlowAlloc                                            false       date             5    avgt    10          19.600 ±         44.520        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.slowAlloc                                               false       date             5    avgt    10         584.000 ±       1030.448        ?
Benchmark.runApache_withoutThreads:·threads.alive                                                             false       date             5    avgt    10          59.500 ±          2.390  threads
Benchmark.runApache_withoutThreads:·threads.daemon                                                            false       date             5    avgt    10          58.500 ±          2.390  threads
Benchmark.runApache_withoutThreads:·threads.started                                                           false       date             5    avgt    10          61.000                   threads
Benchmark.runApache_withoutThreads                                                                            false       date            10    avgt    10          85.029 ±          5.596    ms/op
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.invocations                                      false       date            10    avgt    10           1.600 ±          0.781        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.lastEntryTime                                    false       date            10    avgt    10  1074239737.900 ±  513907412.633        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.lastExitTime                                     false       date            10    avgt    10  1073846480.000 ±  512908379.081        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.time                                             false       date            10    avgt    10     6698393.800 ±    4292484.771        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.compressedclassspace.used                                    false       date            10    avgt    10         216.000 ±        688.451        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.generation.0.space.0.used                                    false       date            10    avgt    10     4998838.400 ±   37358179.931        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.generation.0.space.1.used                                    false       date            10    avgt    10      170393.600 ±    2020589.516        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.generation.0.space.2.capacity                                false       date            10    avgt    10      104857.600 ±    2472928.269        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.generation.1.space.0.used                                    false       date            10    avgt    10      434491.200 ±    1072508.760        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.metaspace.capacity                                           false       date            10    avgt    10       26214.400 ±     125328.755        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.metaspace.used                                               false       date            10    avgt    10        8120.800 ±       8936.871        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgPromotedAvg                                        false       date            10    avgt    10       31780.600 ±     158668.846        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgPromotedDev                                        false       date            10    avgt    10       34151.000 ±     129392.856        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgPromotedPaddedAvg                                  false       date            10    avgt    10      134233.600 ±     546471.756        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgSurvivedDev                                        false       date            10    avgt    10      111478.200 ±     121459.725        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgSurvivedPaddedAvg                                  false       date            10    avgt    10      155250.300 ±     274704.038        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.desiredSurvivorSize                                   false       date            10    avgt    10      157286.400 ±     382885.671        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.minorPauseYoungSlope                                  false       date            10    avgt    10          31.500 ±       1732.674        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.promoted                                              false       date            10    avgt    10       17470.400 ±    1178207.331        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.fills                                                   false       date            10    avgt    10          33.400 ±        222.835        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.maxFastWaste                                            false       date            10    avgt    10          17.100 ±       1382.934        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.maxFills                                                false       date            10    avgt    10           4.100 ±         12.658        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.maxSlowAlloc                                            false       date            10    avgt    10          22.100 ±         42.907        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.slowAlloc                                               false       date            10    avgt    10         589.500 ±       1294.364        ?
Benchmark.runApache_withoutThreads:·threads.alive                                                             false       date            10    avgt    10          57.000 ±          1.594  threads
Benchmark.runApache_withoutThreads:·threads.daemon                                                            false       date            10    avgt    10          56.000 ±          1.594  threads
Benchmark.runApache_withoutThreads:·threads.started                                                           false       date            10    avgt    10          58.000                   threads
Benchmark.runApache_withoutThreads                                                                            false       date            20    avgt    10         171.058 ±         15.941    ms/op
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.invocations                                      false       date            20    avgt    10           1.300 ±          1.434        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.lastEntryTime                                    false       date            20    avgt    10  1307686253.000 ± 1359182805.868        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.lastExitTime                                     false       date            20    avgt    10  1307943012.800 ± 1361455649.625        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.time                                             false       date            20    avgt    10     6787886.900 ±    8581302.205        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.compressedclassspace.used                                    false       date            20    avgt    10         216.000 ±        688.451        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.generation.0.capacity                                        false       date            20    avgt    10     8441036.800 ±   49043896.012        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.generation.0.space.0.capacity                                false       date            20    avgt    10     9384755.200 ±   54184877.386        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.generation.0.space.0.used                                    false       date            20    avgt    10     1380730.400 ±   97773293.973        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.generation.0.space.2.used                                    false       date            20    avgt    10      340787.200 ±    3003894.437        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.generation.1.space.0.used                                    false       date            20    avgt    10      398694.400 ±    1097755.517        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.metaspace.capacity                                           false       date            20    avgt    10       52428.800 ±     167105.007        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.metaspace.used                                               false       date            20    avgt    10       11732.000 ±      13979.844        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgMinorIntervalTime                                  false       date            20    avgt    10          90.400 ±        251.332        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgPromotedAvg                                        false       date            20    avgt    10       36014.700 ±     156732.794        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgPromotedDev                                        false       date            20    avgt    10       34832.800 ±     131496.187        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgPromotedPaddedAvg                                  false       date            20    avgt    10      140513.100 ±     550887.674        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgSurvivedDev                                        false       date            20    avgt    10       75810.600 ±     135189.191        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgSurvivedPaddedAvg                                  false       date            20    avgt    10      142347.100 ±     336298.582        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.decreaseForFootprint                                  false       date            20    avgt    10           0.600 ±          2.869        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.decrementTenuringThresholdForGcCost                   false       date            20    avgt    10           0.100 ±          0.478        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.edenSize                                              false       date            20    avgt    10     9384755.200 ±   54184877.386        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.freeSpace                                             false       date            20    avgt    10     9384755.200 ±   54184877.386        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.minorPauseTime                                        false       date            20    avgt    10           0.100 ±          4.476        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.minorPauseYoungSlope                                  false       date            20    avgt    10         131.100 ±        711.189        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.mutatorCost                                           false       date            20    avgt    10           0.100 ±          0.478        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.oldEdenSize                                           false       date            20    avgt    10    10171187.200 ±   53661526.108        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.promoted                                              false       date            20    avgt    10      171638.400 ±     810591.476        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.youngCapacity                                         false       date            20    avgt    10    15256780.800 ±   57817426.695        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.alloc                                                   false       date            20    avgt    10     1658789.200 ±    7551066.917        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.allocThreads                                            false       date            20    avgt    10           0.300 ±         11.042        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.fills                                                   false       date            20    avgt    10          53.700 ±         98.530        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.maxFills                                                false       date            20    avgt    10           2.900 ±          5.722        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.maxGcWaste                                              false       date            20    avgt    10          55.500 ±      21744.243        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.maxSlowAlloc                                            false       date            20    avgt    10          11.700 ±         69.095        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.maxSlowWaste                                            false       date            20    avgt    10        1234.600 ±       4578.773        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.slowAlloc                                               false       date            20    avgt    10         238.500 ±       1057.271        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.slowWaste                                               false       date            20    avgt    10       18397.400 ±      73683.780        ?
Benchmark.runApache_withoutThreads:·threads.alive                                                             false       date            20    avgt    10          66.500 ±         21.514  threads
Benchmark.runApache_withoutThreads:·threads.daemon                                                            false       date            20    avgt    10          65.500 ±         21.514  threads
Benchmark.runApache_withoutThreads:·threads.started                                                           false       date            20    avgt    10          80.000                   threads
Benchmark.runApache_withoutThreads                                                                            false         du             5    avgt    10         178.476 ±          7.013    ms/op
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.invocations                                      false         du             5    avgt    10           0.400 ±          0.781        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.lastEntryTime                                    false         du             5    avgt    10   888933491.700 ± 1738437483.934        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.lastExitTime                                     false         du             5    avgt    10   888821093.600 ± 1738264344.678        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.time                                             false         du             5    avgt    10     1197428.000 ±    2358508.899        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.compressedclassspace.used                                    false         du             5    avgt    10         216.000 ±        688.451        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.generation.0.space.0.used                                    false         du             5    avgt    10     6931922.400 ±   42947157.077        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.generation.0.space.1.used                                    false         du             5    avgt    10       14747.200 ±    2696599.763        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.generation.1.space.0.used                                    false         du             5    avgt    10        3276.800 ±       6395.656        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.metaspace.capacity                                           false         du             5    avgt    10       26214.400 ±     125328.755        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.metaspace.used                                               false         du             5    avgt    10        8992.000 ±      20503.659        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgMinorIntervalTime                                  false         du             5    avgt    10          38.500 ±         76.575        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgPromotedDev                                        false         du             5    avgt    10          17.400 ±        115.402        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgSurvivedAvg                                        false         du             5    avgt    10        4486.300 ±      20896.718        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgSurvivedPaddedAvg                                  false         du             5    avgt    10        3009.200 ±      51483.504        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgYoungLive                                          false         du             5    avgt    10        4486.300 ±      20896.718        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.liveSpace                                             false         du             5    avgt    10        4483.200 ±      20891.259        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.survived                                              false         du             5    avgt    10       14747.200 ±      42833.327        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.allocThreads                                            false         du             5    avgt    10           0.700 ±          2.259        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.fastWaste                                               false         du             5    avgt    10        2492.700 ±      18366.812        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.fills                                                   false         du             5    avgt    10          20.200 ±         39.903        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.maxFastWaste                                            false         du             5    avgt    10         275.600 ±       1316.991        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.maxFills                                                false         du             5    avgt    10           0.500 ±          1.069        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.maxSlowAlloc                                            false         du             5    avgt    10          13.700 ±         47.356        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.maxSlowWaste                                            false         du             5    avgt    10         499.500 ±        978.605        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.slowAlloc                                               false         du             5    avgt    10          99.400 ±        270.685        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.slowWaste                                               false         du             5    avgt    10        6037.100 ±      13387.553        ?
Benchmark.runApache_withoutThreads:·threads.alive                                                             false         du             5    avgt    10          46.000 ±          1.234  threads
Benchmark.runApache_withoutThreads:·threads.daemon                                                            false         du             5    avgt    10          45.000 ±          1.234  threads
Benchmark.runApache_withoutThreads:·threads.started                                                           false         du             5    avgt    10          47.000                   threads
Benchmark.runApache_withoutThreads                                                                            false         du            10    avgt    10         370.354 ±         21.726    ms/op
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.invocations                                      false         du            10    avgt    10           0.500 ±          0.797        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.lastEntryTime                                    false         du            10    avgt    10  1739723428.500 ± 3180263882.665        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.lastExitTime                                     false         du            10    avgt    10  1740401887.700 ± 3182181887.036        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.time                                             false         du            10    avgt    10     3555338.300 ±    7388499.559        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.compressedclassspace.used                                    false         du            10    avgt    10         416.000 ±        812.949        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.generation.0.space.2.used                                    false         du            10    avgt    10      267064.000 ±    3142513.996        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.generation.1.space.0.used                                    false         du            10    avgt    10        4096.000 ±       6527.539        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.metaspace.capacity                                           false         du            10    avgt    10       52428.800 ±     167105.007        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.metaspace.used                                               false         du            10    avgt    10       17072.800 ±      37013.519        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgMinorIntervalTime                                  false         du            10    avgt    10         257.000 ±        638.453        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgMinorPauseTime                                     false         du            10    avgt    10           0.300 ±          1.020        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgSurvivedAvg                                        false         du            10    avgt    10       35781.700 ±      85019.201        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgSurvivedDev                                        false         du            10    avgt    10       19892.100 ±      51025.789        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgSurvivedPaddedAvg                                  false         du            10    avgt    10       95458.300 ±     237394.613        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgYoungLive                                          false         du            10    avgt    10       35781.700 ±      85019.201        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.decreaseForFootprint                                  false         du            10    avgt    10           0.600 ±          2.869        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.decrementTenuringThresholdForGcCost                   false         du            10    avgt    10           0.100 ±          0.478        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.liveSpace                                             false         du            10    avgt    10       35782.400 ±      85026.092        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.minorPauseTime                                        false         du            10    avgt    10           0.700 ±          3.347        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.minorPauseYoungSlope                                  false         du            10    avgt    10           8.800 ±         32.487        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.mutatorCost                                           false         du            10    avgt    10           0.100 ±          0.478        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.survived                                              false         du            10    avgt    10       92368.000 ±     322027.219        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.youngCapacity                                         false         du            10    avgt    10     5557452.800 ±   26569696.037        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.alloc                                                   false         du            10    avgt    10      541106.900 ±    3489227.540        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.allocThreads                                            false         du            10    avgt    10           0.300 ±          3.971        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.fastWaste                                               false         du            10    avgt    10        3946.400 ±      31266.322        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.fills                                                   false         du            10    avgt    10          27.600 ±         45.025        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.maxFastWaste                                            false         du            10    avgt    10         419.500 ±       1195.791        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.maxFills                                                false         du            10    avgt    10           0.300 ±          2.022        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.maxSlowAlloc                                            false         du            10    avgt    10          17.800 ±         40.068        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.maxSlowWaste                                            false         du            10    avgt    10         418.800 ±       1295.199        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.slowAlloc                                               false         du            10    avgt    10         127.200 ±        443.516        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.slowWaste                                               false         du            10    avgt    10        8346.300 ±      18962.353        ?
Benchmark.runApache_withoutThreads:·threads.alive                                                             false         du            10    avgt    10          49.800 ±          3.758  threads
Benchmark.runApache_withoutThreads:·threads.daemon                                                            false         du            10    avgt    10          48.800 ±          3.758  threads
Benchmark.runApache_withoutThreads:·threads.started                                                           false         du            10    avgt    10          52.000                   threads
Benchmark.runApache_withoutThreads                                                                            false         du            20    avgt    10         803.239 ±        246.944    ms/op
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.invocations                                      false         du            20    avgt    10           0.800 ±          0.637        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.lastEntryTime                                    false         du            20    avgt    10  2203947721.700 ± 1874365169.744        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.lastExitTime                                     false         du            20    avgt    10  2204118637.100 ± 1874303055.005        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.time                                             false         du            20    avgt    10     3634311.700 ±    3147915.940        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.compressedclassspace.used                                    false         du            20    avgt    10         416.000 ±       1325.906        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.generation.0.space.0.used                                    false         du            20    avgt    10     3072545.600 ±   33809248.081        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.generation.1.space.0.used                                    false         du            20    avgt    10      373849.600 ±    1146326.401        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.metaspace.capacity                                           false         du            20    avgt    10       52428.800 ±     167105.007        ?
